doi,volume,year,pages_start,pages_end,pdf_url,title_local,authors_local,n_authors_local,oa_id,oa_title,oa_cited_by,oa_n_authors,oa_type,oa_is_oa,oa_countries,oa_institutions,oa_concepts_top,dc_views,dc_downloads,dc_citations,dc_publisher,dc_pubyear
10.5281/zenodo.18330231,42,2026,178,204,https://fs.unm.edu/NCML/11-178-204InteligenciaArtificialHerramientaTecnodidactica.pdf,La inteligencia artificial como herramienta tecnodidáctica para mejorar la producción de textos escritos en los estudiantes de octavo año de básica superior,"Checa Infante Evelyn Esthefani, Pomaina Guamán María Alejandra, Roger Martínez Isaac",3,https://openalex.org/W7125155048,La inteligencia artificial como herramienta tecnodidáctica para mejorar la producción de textos escritos en los estudiantes de octavo año de básica superior,0,1,article,True,PT,Portuguese School of Bank Management,Philosophy|Humanities|Context (archaeology)|Art|Order (exchange),0,0,0,Zenodo,2026
10.5281/zenodo.18331786,42,2026,205,217,https://fs.unm.edu/NCML/12-205-217ModeloPredictivo%20NeutrosoficoLogistico.pdf,Modelo Predictivo Neutrosófico-Logístico para la Identificación de Alteraciones Visuales optométricas en Contextos de Alta Incertidumbre Clínica,"Yismandry Gonzalez Vargas, Diana Padrón Carrasco",2,https://openalex.org/W7125266974,Neutrosophic-Logistic Predictive Model for the Identification of Optometric Visual Alterations in Contexts of High Clinical Uncertainty,0,2,article,True,CU,Universidad de Ciego de Ávila|University of Holguín,Humanities|Philosophy|Psychology|Identification (biology)|Computer science,0,0,0,Zenodo,2026
10.5281/zenodo.18344126,42,2026,218,241,https://fs.unm.edu/NCML/13-218-241CurvasSuperficiesGeometrias%20Smarandache.pdf,"Las curvas, superficies y geometrías de Smarandache como marcos en geometría diferencial y matemáticas fundamentales",Maykel Yelandy Leyva Vázquez,1,https://openalex.org/W7125482334,"Las curvas, superficies y geometrías de Smarandache como marcos en geometría diferencial y matemáticas fundamentales",0,1,article,True,EC,University of Guayaquil,Mathematics|Philosophy|Humanities|Physics|Field (mathematics),0,0,0,Zenodo,2026
10.5281/zenodo.18354703,42,2026,242,245,https://fs.unm.edu/NCML/14-242-245FrameworkNeutrosoficoAHPTOPSIS%20TransformacionDigital.pdf,Framework Neutrosófico AHP-TOPSIS asistido por una Cadena de Expertos para la toma de decisiones estratégicas de Transformación Digital en Instituciones de Educación Superior,Guillermo Fernando Barreto Aimacaña,1,https://openalex.org/W7125483607,Framework Neutrosófico AHP–TOPSIS asistido por una Cadena de Expertos para la toma de decisiones estratégicas de Transformación Digital en Instituciones de Educación Superior,0,1,article,True,EC,Universidad Bolivariana del Ecuador,Humanities|Political science|Sociology|Context (archaeology)|Digital inclusion,0,0,0,Zenodo,2026
10.5281/zenodo.18905639,42,2026,246,258,https://fs.unm.edu/NCML/15-246-258DeteccionPrevencionVinculosIndebidesProveedores.pdf,Detección Y Prevención De Vínculos Indebidos Entre Proveedores Y Funcionarios Evaluadores En Los Procesos De Contratación Pública Del Ecuador,"Castro Barrera Jean Carlos, Ramírez Lara Alexis Adrián, Glen Freddy Robayo Cabrera, Willian Paul Aviles Quiñonez",4,https://openalex.org/W7134141923,Detección Y Prevención De Vínculos Indebidos Entre Proveedores Y Funcionarios Evaluadores En Los Procesos De Contratación Pública Del Ecuador.,0,4,article,True,BG|EC,"""Hadji Dimitar"" Hospital|Universidad Bolivariana del Ecuador|Universidad Estatal de Bolívar",Political science|Humanities|Geography|Work (physics)|Context (archaeology),0,0,0,Zenodo,2026
10.5281/zenodo.18932284,42,2026,259,268,https://fs.unm.edu/NCML/16-259-268ArquitecturaInstitucionalOptimizarPlanificacion.pdf,Arquitectura institucional para optimizar planificación de adquisiciones públicas en el GAD Salcedo,"Jenny Natalia Cortez Gavilanez, Jose Leonidas Changoluisa Changoluisa, Willian Paul Aviles Quiñonez, Noel Batista Hernandez",4,https://openalex.org/W7134840031,Arquitectura institucional para optimizar planificación de adquisiciones públicas en el GAD Salcedo,0,1,article,True,EC,Universidad Bolivariana del Ecuador,Humanities|Political science|Context (archaeology)|Work (physics)|Plank,0,0,0,Zenodo,2026
10.5281/zenodo.18932300,42,2026,269,281,https://fs.unm.edu/NCML/17-269-281EvaluacionEficienciaPlanAnualContratacion.pdf,"Evaluación de la eficiencia del Plan Anual de Contratación en el Gobierno Autónomo Descentralizado de Salcedo, Cotopaxi","Javier Antonio Rubio Toaza, Andrea Lizeth Corrales Molina, Willian Paul Aviles Quiñonez, Noel Batista Hernandez",4,https://openalex.org/W7134816187,"Evaluación de la eficiencia del Plan Anual de Contratación en el Gobierno Autónomo Descentralizado de Salcedo, Cotopaxi",0,1,article,True,EC,Universidad Bolivariana del Ecuador,Political science|Geography|Humanities|Plan (archaeology)|Forestry,0,0,0,Zenodo,2026
10.5281/zenodo.18932322,42,2026,282,296,https://fs.unm.edu/NCML/18-282-296ImpactoAgentesInteligenciaArtificialAplicaciones.pdf,Impacto de los Agentes de Inteligencia Artificial en las Aplicaciones del Siglo XXI y su Influencia en el Desempeño y la Utilidad,"Dalton Andrés Pazmiño Pérez, Christian Miguel Muñoz Carrasco",2,https://openalex.org/W7134809440,Impacto de los Agentes de Inteligencia Artificial en las Aplicaciones del Siglo XXI y su Influencia en el Desempeño y la Utilidad,0,1,article,True,EC,Universidad Estatal de Bolívar|University of Guayaquil,Humanities|Context (archaeology)|Philosophy|Perspective (graphical)|Value (mathematics),0,0,0,Zenodo,2026
10.5281/zenodo.18905720,42,2026,297,314,https://fs.unm.edu/NCML/19-297-314AnalisisViabilidadFinancieraProyectosInnovadores.pdf,"Análisis de viabilidad financiera de proyectos innovadores de diversificación productiva en comunidades rurales de Jipijapa, Manabí, mediante NAHP","Cruz Veronica Ponce Alvarez, Mora Pin Marcela Elizabeth",2,https://openalex.org/W7134176003,"Análisis de viabilidad financiera de proyectos innovadores de diver-sificación productiva en comunidades rurales de Jipijapa, Manabí, mediante NAHP.",0,2,article,True,EC,Universidad Estatal del Sur de Manabi,Political science|Welfare economics|Context (archaeology)|Humanities|Geography,0,0,0,Zenodo,2026
10.5281/zenodo.18215326,42,2026,1,42,https://fs.unm.edu/NCML/20-315-327ModeloGobernanzaDigitalAgroturismoInteligente.pdf,Enhanced Concepts and Methods for Representing Real-Life Logical Correctness in Fuzzy Frameworks,"Home NCML (Neutrosophic Computing and Machine Learning) - revista internacional Descargar numeros y articulos de la revista internacional NCML Download issues and articles of the NCML international journal Neutrosophic Computing and Machine Learning, Vol. 42, 2026 Takaaki Fujita, Volkan Duran, Ajoy Kanti Das, Suman Das, Arif Mehmood, Talal Al-Hawary, Arkan A. Ghaib, Sankar Prasad Mondal, Mithun Datta",15,https://openalex.org/W7122586221,Enhanced Concepts and Methods for Representing Real-Life Logical Correctness in Fuzzy Frameworks,0,1,article,True,,,Correctness|Falsity|Fuzzy logic|Computer science|Operator (biology),0,0,0,Zenodo,2026
10.5281/zenodo.18991384,42,2026,328,347,https://fs.unm.edu/NCML/21-328-347AnalisisCumplimientoObligacionesContables.pdf,"Análisis del Cumplimiento de Obligaciones Contables en Negocios Populares: Evidencia Empírica de la Parroquia San Lorenzo, Jipijapa","Ginger Elizabeth Salazar Pin, Monica Virginia Choez Pérez",2,https://openalex.org/W7135093984,"Análisis del Cumplimiento de Obligaciones Contables en Negocios Populares: Evidencia Empírica de la Parroquia San Lorenzo, Jipijapa.",0,2,article,True,EC,Universidad Estatal del Sur de Manabi,Political science|Welfare economics|Geography|Humanities|Cartography,0,0,0,Zenodo,2026
10.5281/zenodo.18991653,42,2026,348,365,https://fs.unm.edu/NCML/22-348-365PercepcionProgramacionFinancieraSostenibilidad.pdf,Percepción de la Programación Financiera y su Influencia en la Sostenibilidad Económica de GAD Parroquiales: Caso La Unión,"Gloria Pascuala Chiquito Tigua, Suying Nicoll Yagual Jaime",2,https://openalex.org/W7135102517,Percepción de la Programación Financiera y su Influencia en la Sostenibilidad Económica de GAD Parroquiales: Caso La Unión,0,2,article,True,EC,Universidad Estatal del Sur de Manabi,Political science|Humanities|Economics|Philosophy|Welfare economics,0,0,0,Zenodo,2026
10.5281/zenodo.19075590,42,2026,366,377,https://fs.unm.edu/NCML/23-366-377FormulacionValidacionHipotesisPlitogenicas.pdf,Formulación y Validación de Hipótesis Plitogénicas Neutrosóficas para la Predicción de Eficiencia en Subasta Inversa Electrónica tras Reformas Ley Contratación Pública Ecuador,"Elio Jorge Fischer Romero, Bryan Andres Romero Vaca, Willian Paul Aviles Quiñonez, Glen Freddy Robayo Cabrera",4,https://openalex.org/W7138262011,Formulación y Validación de Hipótesis Plitogénicas Neutrosóficas para la Predicción de Eficiencia en Subasta Inversa Electrónica tras Re-formas Ley Contratación Pública Ecuador.,0,1,article,True,EC,Universidad Bolivariana del Ecuador|Universidad Estatal de Bolívar,Political science|Humanities|Philosophy|Physics|Access to information,0,0,0,Zenodo,2026
10.5281/zenodo.19078554,42,2026,378,386,https://fs.unm.edu/NCML/24-378-386SistemaSeleccionEstrategiasRecuperacionDesastres2.pdf,Sistema de Selección de Estrategias de Recuperación ante Desastres (SS‑ERD): AHP-TOPSIS y SVNS con Cadena de Expertos para Continuidad del Negocio,"Maico Alexander Almeida Almeida, Laura Eledina Gutierrez Merchan",2,https://openalex.org/W7138849582,Sistema de Selección de Estrategias de Recuperación ante Desastres (SS‑ERD): AHP– TOPSIS y SVNS con Cadena de Expertos para Continuidad del Negocio,0,1,article,True,EC,Universidad Estatal de Bolívar|University of Guayaquil,Welfare economics|Humanities|Political science|Economics|TOPSIS,0,0,0,Zenodo,2026
10.5281/zenodo.19078832,42,2026,387,394,https://fs.unm.edu/NCML/25-387-394MarcoNeutrosoficoAHPTOPSISCiberdefensa.pdf,Marco Neutrosófico AHP-TOPSIS Para El Diseño De Estrategias De Ciberdefensa Empresarial Basadas En Controles Críticos De La ISO/IEC 27001: Un Enfoque De Cadena De Expertos,Janner Steeven Guagua Alcivar,1,https://openalex.org/W7138895086,Marco Neutrosófico Ahp-Topsis Para El Diseño De Estrategias De Ciberdefensa Empresarial Basadas En Controles Críticos De La Iso/Iec 27001: Un Enfoque De Cadena De Expertos,0,1,article,True,EC,Universidad Bolivariana del Ecuador,Humanities|Political science|Philosophy|Sociology|Welfare economics,0,0,0,Zenodo,2026
10.5281/zenodo.19080256,42,2026,395,401,https://fs.unm.edu/NCML/26-395-401SeleccionNeutrosoficoModelosLenguajeLLM.pdf,Selección Neutrosófica de Modelos de Lenguaje (LLM) para la Automatización de Centros de Operaciones de Seguridad (SOC),Guaranga Naranjo Lady Nicole,1,https://openalex.org/W7138930328,Selección Neutrosófica de Modelos de Lenguaje (LLM) para la Automatización de Centros de Operaciones de Seguridad (SOC),0,1,article,True,CO|VE,Bolivarian University of Venezuela|Universidad Pontificia Bolivariana,Humanities|Political science|Context (archaeology)|Philosophy|TOPSIS,0,0,0,Zenodo,2026
10.5281/zenodo.19080474,42,2026,402,411,https://fs.unm.edu/NCML/27-402-411SeleccionModeloGobernanzaDatosPresupuestarios.pdf,Selección de un Modelo de Gobernanza de Datos Presupuestarios mediante los Métodos AHP y TOPSIS. Caso del GAD Municipal de Francisco de Orellana,"Cabrera Frias Vilma Monserrat, Calapucha Grefa Lesly Estefany, Calderón García Teresa Abigail, Serrano Vargas Rebeca Estefanía",4,https://openalex.org/W7138939206,Selección de un Modelo de Gobernanza de Datos Presupuestarios mediante los Métodos AHP y TOPSIS. Caso del GAD Municipal de Francisco de Orellana.,0,1,article,True,EC,Central University of Ecuador,Welfare economics|Political science|TOPSIS|Humanities|Hierarchy,0,0,0,Zenodo,2026
10.5281/zenodo.17247347,41,2025,1,30,https://fs.unm.edu/NCML/1-1-30IterativeMultiFuzzySetIterativeMultiNeutrosophic.pdf,"Iterative MultiFuzzy Set, Iterative MultiNeutrosophic Set, Iterative Multisoft set, and MultiPlithogenic Sets","Takaaki Fujita, Arif Mehmood",2,https://openalex.org/W7084414583,"Iterative MultiFuzzy Set, Iterative MultiNeutrosophic Set, Iterative Multisoft set, and MultiPlithogenic Sets",0,1,article,True,,,Iterative method|Fuzzy logic|Computer science|Fuzzy set|Set (abstract data type),0,0,0,Zenodo,2025
10.5281/zenodo.17247940,41,2025,31,36,https://fs.unm.edu/NCML/2-31-36Atenci%C3%B3neducandosbajos%20resultados.pdf,Atención A Educandos Con Bajos Resultados En El Aprendizaje: Desafío Para El Desempeño Profesional Docente,"Araíz Maturell Aguilera, Niurka Velázquez Fombellida",2,https://openalex.org/W7084393569,Atención A Educandos Con Bajos Resultados En El Aprendizaje: Desafío Para El Desempeño Profesional Docente,0,1,article,True,CU,University of Holguín,Humanities|Political science|Philosophy|Context (archaeology)|Sociology,0,0,0,Zenodo,2025
10.5281/zenodo.17254692,41,2025,37,45,https://fs.unm.edu/NCML/../../NCML.41.SI.2026/3-37-45Gesti%C3%B3nriesgosemprendimientosminoristas.pdf,Gestión de riesgos en emprendimientos minoristas agro comerciales en Manabí mediante AHP-TOPSIS,Rosa Cristina Giler Zambrano,1,https://openalex.org/W7084612302,Gestión de riesgos en emprendimientos minoristas agro comerciales en Manabí mediante AHP–TOPSIS,0,1,article,True,EC,Universidad Estatal de Bolívar,Political science|Humanities|Business|Welfare economics|Geography,0,0,0,Zenodo,2025
10.5281/zenodo.17254700,41,2025,46,70,https://fs.unm.edu/NCML/4-46-70FuzzyToleranceHypergraphsFuzzyToleranceSuperHypergraphs%20%281%29.pdf,Fuzzy Tolerance Hypergraphs and Fuzzy Tolerance Superhypergraphs,"Takaaki Fujita, Arif Mehmood",2,https://openalex.org/W7084587984,Fuzzy Tolerance Hypergraphs and Fuzzy Tolerance Superhypergraphs,0,1,article,True,,,Fuzzy logic|Iterated function|Mathematics|Discrete mathematics|Fuzzy set,0,0,0,Zenodo,2025
10.5281/zenodo.17263068,41,2025,71,78,https://fs.unm.edu/NCML/5-71-78An%C3%A1lisis%20EstrategiasMitigaciRiesgos.pdf,Análisis de Estrategias de Mitigación de Riesgos en el Sector Retail. Aplicación de Métodos AHP y TOPSIS,"Jonathan Vera Macias, Fernando Eduardo Alvarado Véliz, Marco Antonio Arguello Arguello",3,https://openalex.org/W7084576051,An´alisis de Estrategias de Mitigaci´on de Riesgos en el Sector Retail. Aplicacio´n de M´etodos AHP y TOPSIS,0,1,article,True,VE,Bolivarian University of Venezuela,TOPSIS|Welfare economics|Humanities|Analytic hierarchy process|Business,0,0,0,Zenodo,2025
10.5281/zenodo.17373916,41,2025,79,98,https://fs.unm.edu/NCML/6-79-98conductasdisruptivasni%C3%B1os.pdf,Análisis Neutrosófico de las Conductas Disruptivas en Niños de 6 a 8 Años y su Impacto en el Rendimiento Académico: Aplicación del Método de Hipótesis Plitogénica,"María Leonor Atiencie Gutiérrez, Natalia Elizabeth Lojano Patiño, Erika Gabriela Alava Jimènez, Cindy Gabriela Ortega Garcia",4,https://openalex.org/W7092299808,Análisis Neutrosófico de las Conductas Disruptivas en Niños de 6 a 8 Años y su Impacto en el Rendimiento Académico: Aplicación del Método de Hipótesis Plitogénica.,0,1,article,True,EC,University of Guayaquil,Humanities|Context (archaeology)|Political science|Sociology|Work (physics),0,0,0,Zenodo,2025
10.5281/zenodo.17374286,41,2025,99,112,https://fs.unm.edu/NCML/7-99-112FomentoComprensi%C3%B3nLectora.pdf,Fomento de la Comprensión Lectora en Cuarto Grado desde la Psicología Neutrosófica en Plataformas Digitales,"Byron Leonardo Sarango Ramos, Yadyra de la Caridad Piñera Concepción, Wilber Ortiz Aguilar, Roger Martinez Isaac",4,https://openalex.org/W7092283777,Fomento de la Comprensión Lectora en Cuarto Grado desde la Psicología Neutrosófica en Plata-formas Digitales,0,1,article,True,ES,Departamento de Educación,Humanities|Context (archaeology)|Psychology|Art|Sociology,0,0,0,Zenodo,2025
10.5281/zenodo.17402872,41,2025,113,125,https://fs.unm.edu/NCML/8-113-125LaNeutrosof%C3%ADaInteligenciaArtificial.pdf,La Neutrosofía en la Inteligencia Artificial: Avances y Aplicaciones,"Dr. Florentin Smarandache, Dr. Maikel Leyva-Vázquez, Dr. Mohamed Abdel-Basset",3,https://openalex.org/W7093076132,La Neutrosofía en la Inteligencia Artificial: Avances y Aplicaciones.,0,1,article,True,MX,Universidad Autónoma de Nuevo León,Humanities|Philosophy|Political science|Art|Sociology,0,0,0,Zenodo,2025
10.5281/zenodo.17459985,41,2025,126,142,https://fs.unm.edu/NCML/9-126-142An%C3%A1lisisRiesgoCrediticioEntidadesFinancierasEcuatorianas.pdf,Análisis del Riesgo Crediticio de Entidades Financieras Ecuatorianas: Un Enfoque Descriptivo y Predictivo Integrado con Machine Learning y Business Intelligence,"Johanna Maribel Pando Farez, Paola Dayanara Ramírez Carrión",2,https://openalex.org/W7101442386,Análisis del Riesgo Crediticio de Entidades Financieras Ecuatorianas: Un Enfoque Descriptivo y Predictivo Integrado con Machine Learning y Business Intelligence.,0,1,article,True,EC,Universidad Estatal de Bolívar,Humanities|Welfare economics|Political science|Philosophy|Cartography,0,0,0,Zenodo,2025
10.5281/zenodo.17586126,41,2025,143,171,https://fs.unm.edu/NCML/10-143-171ActorHypernetworksurbanHypernetworks.pdf,Actor Hypernetworks and Urban Road Hypernetworks with Real-life Applications,"Takaaki Fujita, Arif Mehmood",2,https://openalex.org/W7105542369,Actor Hypernetworks and Urban Road Hypernetworks with Real-life Applications,0,1,article,True,,,Computer science|Materiality (auditing)|Graph|Performative utterance|Graph theory,0,0,0,Zenodo,2025
10.5281/zenodo.17586150,41,2025,172,190,https://fs.unm.edu/NCML/11-172-190An%C3%A1lisisdatosidentificarpatrones.pdf,Análisis de datos para identificar patrones operativos una terminal portuaria de Guayaquil: Estudio de caso (2024-2025),"Victor Varela Lozano, Pedro Rodríguez Jarama",2,https://openalex.org/W7105545630,Análisis de datos para identificar patrones operativos una terminal portuaria de Guayaquil: Estudio de caso (2024–2025).,0,1,article,True,EC,Universidad Bolivariana del Ecuador,Computer science|Humanities|Philosophy|Mathematics|Data collection,0,0,0,Zenodo,2025
10.5281/zenodo.17586163,41,2025,191,212,https://fs.unm.edu/NCML/12-191-212FormalizingContextualTruthFlips.pdf,Formalizing Contextual Truth Flips: Upside-Down Logic and Its Variants,"Takaaki Fujita, Arif Mehmood",2,https://openalex.org/W7105587536,Formalizing Contextual Truth Flips: Upside-Down Logic and Its Variants,0,1,article,True,,,Computer science|Phenomenon|Non-monotonic logic|Outcome (game theory)|Operator (biology),0,0,0,Zenodo,2025
10.5281/zenodo.17586185,41,2025,213,220,https://fs.unm.edu/NCML/13-213-220Laintegraci%C3%B3nperspectivascontradictorias.pdf,La integración de perspectivas contradictorias en la filosofía latinoamericana: Un enfoque MultiAlisista,"Maikel Leyva Vázquez, Florentin Smarandache",2,https://openalex.org/W7105513135,La integración de perspectivas contradictorias en la filosofía latinoamericana: Un enfoque MultiAlisista.,0,1,article,True,EC,University of Guayaquil,Humanities|Sociology|Political science|Context (archaeology)|Art,0,0,0,Zenodo,2025
10.5281/zenodo.17594161,41,2025,221,232,https://fs.unm.edu/NCML/14-221-232Innovaci%C3%B3nserviciosp%C3%BAblicosdigitales.pdf,Innovación en servicios públicos digitales en el GAD Municipal del Cantón Sucre,"Paola Alexandra Almache Mullo, Juan Diego Herrera Ramos, Luis Carlos Mero Caicedo, Cristian Iván Proaño Suárez, Miryam Johanna Villarroel Ortiz",5,,,,0,,,,,,0,0,0,Zenodo,2025
10.5281/zenodo.17594438,41,2025,233,243,https://fs.unm.edu/NCML/15-233-243Procesamientoim%C3%A1genesm%C3%A9dicas.pdf,Procesamiento de imágenes médicas mediante conjuntos neutrosóficos,"Msc. Yismandry Gonzalez Vargas, Lic. Diana Padrón Carrasco",2,,,,0,,,,,,0,0,0,Zenodo,2025
10.5281/zenodo.17613979,41,2025,244,263,https://fs.unm.edu/NCML/16-244-263Priorizaci%C3%B3nSolucionesTecnol%C3%B3gicasTransformaci%C3%B3n.pdf,Priorización de Soluciones Tecnológicas para la Transformación Digital del SERCOP mediante AHP-TOPSIS,"Andrés Villarreal Valencia, Jimmy Farinango Alquinga",2,https://openalex.org/W7105805768,Priorización de Soluciones Tecnológicas para la Transformación Digital del SERCOP mediante AHP–TOPSIS,0,1,article,True,EC,Central University of Ecuador|Universidad Andina Simón Bolívar,Political science|Computer science|Humanities|Welfare economics|Philosophy,0,0,0,Zenodo,2025
10.5281/zenodo.17636297,41,2025,264,269,https://fs.unm.edu/NCML/17-264-269Implementaci%C3%B3nplataformaciudadana%20digital.pdf,Implementación de una plataforma ciudadana digital para la gestión de trámites municipales en los cantones de la provincia de Esmeraldas,Natasha Jasmin Morillo Cabrera,1,https://openalex.org/W7106028046,Implementación de una plataforma ciudadana digital para la gestión de trámites municipales en los cantones de la provincia de Esmeraldas.,0,1,article,True,VE,Bolivarian University of Venezuela,Political science|Humanities|Scope (computer science)|Acquiescence|Philosophy,0,0,0,Zenodo,2025
