doi,volume,year,source,position,name,orcid,oa_author_id,institutions,countries,name_norm,canon,init_key,orcid_clean,oa_id_clean,cluster_root,cluster_id,name_canonical
10.5281/zenodo.18331786,42,2026,openalex,last,Diana Padrón Carrasco,,https://openalex.org/A5121209372,Universidad de Ciego de Ávila,CU,Diana Padrón Carrasco,carrasco diana padron,d|carrasco padron,,https://openalex.org/A5121209372,859,458,Diana Padrón Carrasco
10.5281/zenodo.18344126,42,2026,openalex,first,Maykel Yelandy Leyva Vázquez,,https://openalex.org/A5123683729,University of Guayaquil,EC,Maykel Yelandy Leyva Vázquez,leyva maykel vazquez yelandy,m|leyva vazquez yelandy,,https://openalex.org/A5123683729,13,7,Maykel Yelandy Leyva Vázquez
10.5281/zenodo.18354703,42,2026,openalex,first,Guillermo Fernando Barreto Aimacaña,,https://openalex.org/A5123697140,Universidad Bolivariana del Ecuador,EC,Guillermo Fernando Barreto Aimacaña,aimacana barreto fernando guillermo,g|aimacana barreto fernando,,https://openalex.org/A5123697140,14,8,Guillermo Fernando Barreto Aimacaña
10.5281/zenodo.18905639,42,2026,openalex,first,Jean Carlos Castro Barrera,,https://openalex.org/A5128294983,Universidad Estatal de Bolívar,EC,Jean Carlos Castro Barrera,barrera carlos castro jean,j|barrera carlos castro,,https://openalex.org/A5128294983,15,9,Jean Carlos Castro Barrera
10.5281/zenodo.18905639,42,2026,openalex,middle,Alexis Adrián Ramírez Lara,,https://openalex.org/A5128281130,Universidad Estatal de Bolívar,EC,Alexis Adrián Ramírez Lara,adrian alexis lara ramirez,a|adrian lara ramirez,,https://openalex.org/A5128281130,16,10,Alexis Adrián Ramírez Lara
10.5281/zenodo.18905639,42,2026,openalex,middle,Glen Freddy Robayo Cabrera,,https://openalex.org/A5128319239,"""Hadji Dimitar"" Hospital|Universidad Bolivariana del Ecuador",BG,Glen Freddy Robayo Cabrera,cabrera freddy glen robayo,g|cabrera freddy robayo,,https://openalex.org/A5128319239,524,276,Glen Freddy Robayo Cabrera
10.5281/zenodo.18905639,42,2026,openalex,last,Aviles Quiñonez Willian Paul,,https://openalex.org/A5128299316,Universidad Bolivariana del Ecuador,EC,Aviles Quiñonez Willian Paul,aviles paul quinonez willian,a|paul quinonez willian,,https://openalex.org/A5128299316,18,11,Aviles Quiñonez Willian Paul
10.5281/zenodo.18932284,42,2026,openalex,first,Jenny Natalia Cortez Gavilanez,,https://openalex.org/A5128650913,Universidad Bolivariana del Ecuador,EC,Jenny Natalia Cortez Gavilanez,cortez gavilanez jenny natalia,j|cortez gavilanez natalia,,https://openalex.org/A5128650913,19,12,Jenny Natalia Cortez Gavilanez
10.5281/zenodo.18932300,42,2026,openalex,first,Javier Antonio Rubio Toaza,,https://openalex.org/A5128688841,Universidad Bolivariana del Ecuador,EC,Javier Antonio Rubio Toaza,antonio javier rubio toaza,j|antonio rubio toaza,,https://openalex.org/A5128688841,20,13,Javier Antonio Rubio Toaza
10.5281/zenodo.18932322,42,2026,openalex,first,Dalton Andrés Pazmiño Pérez,,https://openalex.org/A5128642553,University of Guayaquil|Universidad Estatal de Bolívar,EC,Dalton Andrés Pazmiño Pérez,andres dalton pazmino perez,d|andres pazmino perez,,https://openalex.org/A5128642553,21,14,Dalton Andrés Pazmiño Pérez
10.5281/zenodo.18905720,42,2026,openalex,first,Cruz Veronica Cruz Veronica Ponce Alvarez,,https://openalex.org/A5128373738,Universidad Estatal del Sur de Manabi,EC,Cruz Veronica Cruz Veronica Ponce Alvarez,alvarez cruz cruz ponce veronica veronica,c|alvarez cruz ponce veronica veronica,,https://openalex.org/A5128373738,22,15,Cruz Veronica Cruz Veronica Ponce Alvarez
10.5281/zenodo.18905720,42,2026,openalex,last,Marcela Elizabeth Mora Pin,,https://openalex.org/A5128375538,Universidad Estatal del Sur de Manabi,EC,Marcela Elizabeth Mora Pin,elizabeth marcela mora pin,m|elizabeth mora pin,,https://openalex.org/A5128375538,23,16,Marcela Elizabeth Mora Pin
10.5281/zenodo.18215326,42,2026,openalex,first,Takaaki Fujita,,https://openalex.org/A5122749570,,,Takaaki Fujita,fujita takaaki,t|fujita,,https://openalex.org/A5122749570,65,42,"Fujita, Takaaki"
10.5281/zenodo.18991384,42,2026,openalex,first,Ginger Elizabeth Salazar Pin,,https://openalex.org/A5128836385,Universidad Estatal del Sur de Manabi,EC,Ginger Elizabeth Salazar Pin,elizabeth ginger pin salazar,g|elizabeth pin salazar,,https://openalex.org/A5128836385,25,17,Ginger Elizabeth Salazar Pin
10.5281/zenodo.18991384,42,2026,openalex,last,Monica Virginia Choez Pérez,,https://openalex.org/A5128918758,Universidad Estatal del Sur de Manabi,EC,Monica Virginia Choez Pérez,choez monica perez virginia,m|choez perez virginia,,https://openalex.org/A5128918758,26,18,Monica Virginia Choez Pérez
10.5281/zenodo.18991653,42,2026,openalex,first,Gloria Pascuala Chiquito Tigua,,https://openalex.org/A5128905213,Universidad Estatal del Sur de Manabi,EC,Gloria Pascuala Chiquito Tigua,chiquito gloria pascuala tigua,g|chiquito pascuala tigua,,https://openalex.org/A5128905213,27,19,Gloria Pascuala Chiquito Tigua
10.5281/zenodo.18991653,42,2026,openalex,last,Yagual Jaime Suying Nicoll,,https://openalex.org/A5128873871,Universidad Estatal del Sur de Manabi,EC,Yagual Jaime Suying Nicoll,jaime nicoll suying yagual,y|jaime nicoll suying,,https://openalex.org/A5128873871,28,20,Yagual Jaime Suying Nicoll
10.5281/zenodo.19075590,42,2026,openalex,first,Elio Jorge Fischer Romero,,https://openalex.org/A5129717691,Universidad Estatal de Bolívar|Universidad Bolivariana del Ecuador,EC,Elio Jorge Fischer Romero,elio fischer jorge romero,e|fischer jorge romero,,https://openalex.org/A5129717691,29,21,Elio Jorge Fischer Romero
10.5281/zenodo.19078554,42,2026,openalex,first,Almeida Almeida Maico Alexander,,https://openalex.org/A5129794593,University of Guayaquil|Universidad Estatal de Bolívar,EC,Almeida Almeida Maico Alexander,alexander almeida almeida maico,a|alexander almeida maico,,https://openalex.org/A5129794593,30,22,Maico Alexander Almeida Almeida
10.5281/zenodo.19078832,42,2026,openalex,first,Janner Steeven Guagua Alcivar,,https://openalex.org/A5129838909,Universidad Bolivariana del Ecuador,EC,Janner Steeven Guagua Alcivar,alcivar guagua janner steeven,j|alcivar guagua steeven,,https://openalex.org/A5129838909,31,23,Janner Steeven Guagua Alcivar
10.5281/zenodo.19080256,42,2026,openalex,first,Lady Nicole Guaranga Naranjo,,https://openalex.org/A5130161394,Universidad Pontificia Bolivariana|Bolivarian University of Venezuela,CO|VE,Lady Nicole Guaranga Naranjo,guaranga lady naranjo nicole,l|guaranga naranjo nicole,,https://openalex.org/A5130161394,32,24,Lady Nicole Guaranga Naranjo
10.5281/zenodo.19080474,42,2026,openalex,first,Vilma Monserrat Cabrera Frias,,https://openalex.org/A5129898963,Central University of Ecuador,EC,Vilma Monserrat Cabrera Frias,cabrera frias monserrat vilma,v|cabrera frias monserrat,,https://openalex.org/A5129898963,33,25,Vilma Monserrat Cabrera Frias
10.5281/zenodo.17247347,41,2025,openalex,first,"Fujita, Takaaki",,,,,"Fujita, Takaaki",fujita takaaki,f|takaaki,,,65,42,"Fujita, Takaaki"
10.5281/zenodo.17247940,41,2025,openalex,first,"Maturell Aguilera, Araíz",,,University of Holguín,CU,"Maturell Aguilera, Araíz",aguilera araiz maturell,m|aguilera araiz,,,35,26,"Maturell Aguilera, Araíz"
10.5281/zenodo.17254692,41,2025,openalex,first,"Giler Zambrano, Rosa Cristina",,,Universidad Estatal de Bolívar,EC,"Giler Zambrano, Rosa Cristina",cristina giler rosa zambrano,g|cristina rosa zambrano,,,522,274,"Giler Zambrano, Rosa Cristina"
10.5281/zenodo.17254700,41,2025,openalex,first,"Fujita, Takaaki",,,,,"Fujita, Takaaki",fujita takaaki,f|takaaki,,,65,42,"Fujita, Takaaki"
10.5281/zenodo.17263068,41,2025,openalex,first,"Vera Macias, Jonathan",,,Bolivarian University of Venezuela,VE,"Vera Macias, Jonathan",jonathan macias vera,v|jonathan macias,,,296,148,"Vera Macias, Jonathan"
10.5281/zenodo.17373916,41,2025,openalex,first,"Atiencie Gutiérrez1, María Leonor",,,University of Guayaquil,EC,"Atiencie Gutiérrez1, María Leonor",atiencie gutierrez1 leonor maria,a|gutierrez1 leonor maria,,,39,27,"Atiencie Gutiérrez1, María Leonor"
10.5281/zenodo.17374286,41,2025,openalex,first,"Sarango Ramos, Byron Leonardo",,,Departamento de Educación,ES,"Sarango Ramos, Byron Leonardo",byron leonardo ramos sarango,s|byron leonardo ramos,,,40,28,"Sarango Ramos, Byron Leonardo"
10.5281/zenodo.17402872,41,2025,openalex,first,"Smarandache, Florentin",,,Universidad Autónoma de Nuevo León,MX,"Smarandache, Florentin",florentin smarandache,s|florentin,,,2134,1302,Florentin Smarandache
10.5281/zenodo.17459985,41,2025,openalex,first,"Pando Farez, Johanna Maribel",,,Universidad Estatal de Bolívar,EC,"Pando Farez, Johanna Maribel",farez johanna maribel pando,p|farez johanna maribel,,,311,162,"Pando Farez, Johanna Maribel"
10.5281/zenodo.17586126,41,2025,openalex,first,"Fujita, Takaaki",,,,,"Fujita, Takaaki",fujita takaaki,f|takaaki,,,65,42,"Fujita, Takaaki"
10.5281/zenodo.17586150,41,2025,openalex,first,"Varela Lozano, Victor",,,Universidad Bolivariana del Ecuador,EC,"Varela Lozano, Victor",lozano varela victor,v|lozano victor,,,92,53,"Varela Lozano, Victor"
10.5281/zenodo.17586163,41,2025,openalex,first,"Fujita, Takaaki",,,,,"Fujita, Takaaki",fujita takaaki,f|takaaki,,,65,42,"Fujita, Takaaki"
10.5281/zenodo.17586185,41,2025,openalex,first,"Maikel Leyva Vázquez, Maikel",,,University of Guayaquil,EC,"Maikel Leyva Vázquez, Maikel",leyva maikel maikel vazquez,m|leyva maikel vazquez,,,46,29,"Maikel Leyva Vázquez, Maikel"
10.5281/zenodo.17594161,41,2025,datacite,first,"Proaño Suárez, Cristian Iván",,,,,"Proaño Suárez, Cristian Iván",cristian ivan proano suarez,p|cristian ivan suarez,,,47,30,"Proaño Suárez, Cristian Iván"
10.5281/zenodo.17594438,41,2025,datacite,first,"Gonzalez Vargas, 1Msc. Yismandry",,,,,"Gonzalez Vargas, 1Msc. Yismandry",1msc gonzalez vargas yismandry,g|1msc vargas yismandry,,,48,31,"Gonzalez Vargas, 1Msc. Yismandry"
10.5281/zenodo.17613979,41,2025,openalex,first,"Villarreal Valencia, Andrés",,,Universidad Andina Simón Bolívar|Central University of Ecuador,EC,"Villarreal Valencia, Andrés",andres valencia villarreal,v|andres valencia,,,49,32,"Villarreal Valencia, Andrés"
10.5281/zenodo.17636297,41,2025,openalex,first,"Morillo Cabrera, Natasha Jasmin",,,Bolivarian University of Venezuela,VE,"Morillo Cabrera, Natasha Jasmin",cabrera jasmin morillo natasha,m|cabrera jasmin natasha,,,50,33,"Morillo Cabrera, Natasha Jasmin"
10.5281/zenodo.17643966,41,2025,openalex,first,"Guilart Caisés, Ernesto",,,University of Holguín,CU,"Guilart Caisés, Ernesto",caises ernesto guilart,g|caises ernesto,,,51,34,"Guilart Caisés, Ernesto"
10.5281/zenodo.17666223,41,2025,openalex,first,"Asanza Espinoza, Janeth Del Carmen",,,University of Guayaquil,EC,"Asanza Espinoza, Janeth Del Carmen",asanza carmen espinoza janeth,a|carmen espinoza janeth,,,52,35,"Asanza Espinoza, Janeth Del Carmen"
10.5281/zenodo.17666731,41,2025,openalex,first,"Rodriguez, M.",,,Bolivarian University of Venezuela,VE,"Rodriguez, M.",rodriguez,,,,53,36,"Rodriguez, M."
10.5281/zenodo.17694557,41,2025,openalex,first,"Lara Espinoza, Ginger Marilu",,,Universidad Estatal de Bolívar,EC,"Lara Espinoza, Ginger Marilu",espinoza ginger lara marilu,l|espinoza ginger marilu,,,54,37,"Lara Espinoza, Ginger Marilu"
10.5281/zenodo.17797086,41,2025,openalex,first,"Meneses Álvarez., Dra. Sara",,,Pontificia Universidad Católica del Ecuador,EC,"Meneses Álvarez., Dra. Sara",alvarez dra meneses sara,m|alvarez dra sara,,,55,38,"Meneses Álvarez., Dra. Sara"
10.5281/zenodo.17874364,41,2025,openalex,first,"Smarandache, Florentin",,,Universidad Autónoma de Nuevo León,MX,"Smarandache, Florentin",florentin smarandache,s|florentin,,,2134,1302,Florentin Smarandache
10.5281/zenodo.17970201,41,2025,openalex,first,"Saa-Litardo, Erick Alfredo",,,Bolivarian University of Venezuela|Universidad Estatal de Bolívar|Universidad Andina Simón Bolívar,EC|VE,"Saa-Litardo, Erick Alfredo",alfredo erick litardo saa,s|alfredo erick litardo,,,528,280,"Saa-Litardo, Erick Alfredo"
10.5281/zenodo.18041589,41,2025,openalex,first,Andrea Mariel Malavé Gómez,,https://openalex.org/A5121296395,Universidad Estatal de Milagro,EC,Andrea Mariel Malavé Gómez,andrea gomez malave mariel,a|gomez malave mariel,,https://openalex.org/A5121296395,58,39,Andrea Mariel Malavé Gómez
10.5281/zenodo.18041986,41,2025,openalex,first,Ely Stefanie Parra Tauriz,,https://openalex.org/A5121297664,Universidad Bolivariana del Ecuador,EC,Ely Stefanie Parra Tauriz,ely parra stefanie tauriz,e|parra stefanie tauriz,,https://openalex.org/A5121297664,516,268,Ely Stefanie Parra Tauriz
10.5281/zenodo.18193776,41,2025,openalex,first,Alfonso A. Guijarro-Rodríguez,,https://openalex.org/A5122552155,University of Guayaquil,EC,Alfonso A. Guijarro-Rodríguez,alfonso guijarro rodriguez,a|guijarro rodriguez,,https://openalex.org/A5122552155,530,282,Alfonso A. Guijarro-Rodríguez
10.5281/zenodo.18209831,41,2025,openalex,first,Isaías Rafael Sandoya Vargas,,https://openalex.org/A5122728110,Universidad Bolivariana del Ecuador,EC,Isaías Rafael Sandoya Vargas,isaias rafael sandoya vargas,i|rafael sandoya vargas,,https://openalex.org/A5122728110,61,40,Isaías Rafael Sandoya Vargas
10.5281/zenodo.18209841,41,2025,openalex,first,Luis Dominguez,,https://openalex.org/A5122723198,Universidad Estatal de Bolívar|Bolivarian University of Venezuela,EC|VE,Luis Dominguez,dominguez luis,l|dominguez,,https://openalex.org/A5122723198,62,41,Luis Dominguez
10.5281/zenodo.18215326,42,2026,openalex,first,Takaaki Fujita,,https://openalex.org/A5122749570,,,Takaaki Fujita,fujita takaaki,t|fujita,,https://openalex.org/A5122749570,65,42,"Fujita, Takaaki"
10.5281/zenodo.17042113,40,2025,openalex,first,"Leyva Vázquez, Maikel Y.",,,University of Guayaquil,EC,"Leyva Vázquez, Maikel Y.",leyva maikel vazquez,l|maikel vazquez,,,2224,1362,Maikel Leyva Vázquez
10.5281/zenodo.17042133,40,2025,openalex,first,"Fujita1, Takaaki",,,Pathfinder International,US,"Fujita1, Takaaki",fujita1 takaaki,f|takaaki,,,65,42,"Fujita, Takaaki"
10.5281/zenodo.17042139,40,2025,openalex,first,"Fujita, Takaaki",,,,,"Fujita, Takaaki",fujita takaaki,f|takaaki,,,65,42,"Fujita, Takaaki"
10.5281/zenodo.17049898,40,2025,openalex,first,"Ramírez Guzmán, Amalia Gabriela",,,University of Guayaquil,EC,"Ramírez Guzmán, Amalia Gabriela",amalia gabriela guzman ramirez,r|amalia gabriela guzman,,,985,513,"Ramírez Guzmán, Amalia Gabriela"
10.5281/zenodo.17050674,40,2025,openalex,first,"Quiroz-Martinez, Miguel-Angel",,,Politecnica Salesiana University,EC,"Quiroz-Martinez, Miguel-Angel",angel martinez miguel quiroz,q|angel martinez miguel,,,525,277,"Quiroz-Martinez, Miguel-Angel"
10.5281/zenodo.17082318,40,2025,openalex,first,"Grace Thomas, Diana",,,Saveetha University,IN,"Grace Thomas, Diana",diana grace thomas,g|diana thomas,,,69,43,"Grace Thomas, Diana"
10.5281/zenodo.17082593,40,2025,openalex,first,"Bravo Palaquibay, Fernando Geovany",,,Politecnica Salesiana University,EC,"Bravo Palaquibay, Fernando Geovany",bravo fernando geovany palaquibay,b|fernando geovany palaquibay,,,70,44,"Bravo Palaquibay, Fernando Geovany"
10.5281/zenodo.17139433,40,2025,openalex,first,"Ruff, Claudio",,,Universidad Bernardo O'Higgins,CL,"Ruff, Claudio",claudio ruff,r|claudio,,,71,45,"Ruff, Claudio"
10.5281/zenodo.17102951,40,2025,openalex,first,"Zambrano Vega, Jail Iván",,,Bolivarian University of Venezuela,VE,"Zambrano Vega, Jail Iván",ivan jail vega zambrano,z|ivan jail vega,,,72,46,"Zambrano Vega, Jail Iván"
10.5281/zenodo.17139236,40,2025,openalex,first,"Palacios Zurita, Alexander",,,Universidad Estatal de Bolívar|Bolivarian University of Venezuela|Universidad Andina Simón Bolívar,EC|VE,"Palacios Zurita, Alexander",alexander palacios zurita,p|alexander zurita,,,73,47,"Palacios Zurita, Alexander"
10.5281/zenodo.17109782,40,2025,openalex,first,"Noel, Batista Hernández",,,Universidad Bolivariana del Ecuador,EC,"Noel, Batista Hernández",batista hernandez noel,n|batista hernandez,,,1937,1173,"Noel, Batista Hernández"
10.5281/zenodo.17110077,40,2025,openalex,first,"Espinoza Jaramillo, Rosa Mercedes",,,Universidad Bolivariana del Ecuador,EC,"Espinoza Jaramillo, Rosa Mercedes",espinoza jaramillo mercedes rosa,e|jaramillo mercedes rosa,,,75,48,"Espinoza Jaramillo, Rosa Mercedes"
10.5281/zenodo.17110356,40,2025,openalex,first,"Quiroz-Martinez, Miguel-Angel",,,Politecnica Salesiana University,EC,"Quiroz-Martinez, Miguel-Angel",angel martinez miguel quiroz,q|angel martinez miguel,,,525,277,"Quiroz-Martinez, Miguel-Angel"
10.5281/zenodo.17139071,40,2025,openalex,first,"Quiroz-Martínez, Miguel-Angel",,,Politecnica Salesiana University,EC,"Quiroz-Martínez, Miguel-Angel",angel martinez miguel quiroz,q|angel martinez miguel,,,525,277,"Quiroz-Martinez, Miguel-Angel"
10.5281/zenodo.17138990,40,2025,openalex,first,"Gómez-Ríos, Monica",,,Politecnica Salesiana University,EC,"Gómez-Ríos, Monica",gomez monica rios,g|monica rios,,,80,50,"Gómez-Ríos, Monica"
10.5281/zenodo.17138409,40,2025,openalex,first,"Castro-Arias, Santiago",,,Politecnica Salesiana University,EC,"Castro-Arias, Santiago",arias castro santiago,c|arias santiago,,,79,49,"Castro-Arias, Santiago"
10.5281/zenodo.17138391,40,2025,openalex,first,"Gómez-Ríos, Mónica",,,Politecnica Salesiana University,EC,"Gómez-Ríos, Mónica",gomez monica rios,g|monica rios,,,80,50,"Gómez-Ríos, Monica"
10.5281/zenodo.17148781,40,2025,openalex,first,"Hechavarría-Hernández, Jesús Rafael",,,Universidad de Ciencias Medicas,CR,"Hechavarría-Hernández, Jesús Rafael",hechavarria hernandez jesus rafael,h|hernandez jesus rafael,,,81,51,"Hechavarría-Hernández, Jesús Rafael"
10.5281/zenodo.17149463,40,2025,openalex,first,"Arguello-Arguello, Marco",,,Universidad Bolivariana del Ecuador,EC,"Arguello-Arguello, Marco",arguello arguello marco,a|arguello marco,,,298,150,"Arguello-Arguello, Marco"
10.5281/zenodo.17149495,40,2025,openalex,first,"Parrales-Bravo, Franklin",,,Universidad Bolivariana del Ecuador,EC,"Parrales-Bravo, Franklin",bravo franklin parrales,p|bravo franklin,,,305,156,"Parrales-Bravo, Franklin"
10.5281/zenodo.17149557,40,2025,openalex,first,"Parrales-Bravo, Franklin",,,Universidad Bolivariana del Ecuador,EC,"Parrales-Bravo, Franklin",bravo franklin parrales,p|bravo franklin,,,305,156,"Parrales-Bravo, Franklin"
10.5281/zenodo.17156462,40,2025,openalex,first,"Silvers Briones, Matilde Briggitte",,,University of Guayaquil,EC,"Silvers Briones, Matilde Briggitte",briggitte briones matilde silvers,s|briggitte briones matilde,,,85,52,"Silvers Briones, Matilde Briggitte"
10.5281/zenodo.17156903,40,2025,openalex,first,"Gonzalez Vargas, Msc. Yismandry",,,Latin American School of Medicine,CU,"Gonzalez Vargas, Msc. Yismandry",gonzalez msc vargas yismandry,g|msc vargas yismandry,,,118,59,"Gonzalez Vargas, Msc. Yismandry"
10.5281/zenodo.17156903,40,2025,openalex,last,"Padrón Carrasco, Lic. Diana",,,Latin American School of Medicine,CU,"Padrón Carrasco, Lic. Diana",carrasco diana lic padron,p|carrasco diana lic,,,119,60,"Padrón Carrasco, Lic. Diana"
10.5281/zenodo.17204304,40,2025,openalex,first,"Palacios Zurita, Wladimir Alexander",,,Escuela Superior Politécnica Agropecuaria de Manabí Manuel Félix López,EC,"Palacios Zurita, Wladimir Alexander",alexander palacios wladimir zurita,p|alexander wladimir zurita,,,513,265,"Palacios Zurita, Wladimir Alexander"
10.5281/zenodo.17204311,40,2025,openalex,first,"Castillo Román, Manuel José",,,Universidad Bolivariana del Ecuador,EC,"Castillo Román, Manuel José",castillo jose manuel roman,c|jose manuel roman,,,519,271,"Castillo Román, Manuel José"
10.5281/zenodo.17220665,40,2025,openalex,first,"Montaleza Quizhpe, Iván Patricio",,,Universidad Estatal de Bolívar,EC,"Montaleza Quizhpe, Iván Patricio",ivan montaleza patricio quizhpe,m|ivan patricio quizhpe,,,304,155,"Montaleza Quizhpe, Iván Patricio"
10.5281/zenodo.17220671,40,2025,openalex,first,"González Arias, Johanna Mariuxi",,,Bolivarian University of Venezuela,VE,"González Arias, Johanna Mariuxi",arias gonzalez johanna mariuxi,g|arias johanna mariuxi,,,521,273,"González Arias, Johanna Mariuxi"
10.5281/zenodo.17220686,40,2025,openalex,first,"Varela Lozano, Víctor",,,"""Hadji Dimitar"" Hospital|Universidad Bolivariana del Ecuador",BG,"Varela Lozano, Víctor",lozano varela victor,v|lozano victor,,,92,53,"Varela Lozano, Victor"
10.5281/zenodo.17220695,40,2025,openalex,first,"Parra Tauriz, Ely Stefanie",,,Bolivarian University of Venezuela,VE,"Parra Tauriz, Ely Stefanie",ely parra stefanie tauriz,p|ely stefanie tauriz,,,516,268,Ely Stefanie Parra Tauriz
10.5281/zenodo.17220701,40,2025,openalex,first,"Gómez Rios, Mónica-Daniela",,,Politecnica Salesiana University,EC,"Gómez Rios, Mónica-Daniela",daniela gomez monica rios,g|daniela monica rios,,,94,54,"Gómez Rios, Mónica-Daniela"
10.54216/IJNS.150203,39,2025,openalex,first,Florentín Smarandache,0000-0002-5560-5926,https://openalex.org/A5012703845,,,Florentín Smarandache,florentin smarandache,f|smarandache,0000-0002-5560-5926,https://openalex.org/A5012703845,2134,1302,Florentin Smarandache
10.5281/zenodo.16891994,39,2025,datacite,first,"Ramírez Guerra, Darvin Manuel",0000-0002-0309-9582,,,,"Ramírez Guerra, Darvin Manuel",darvin guerra manuel ramirez,r|darvin guerra manuel,0000-0002-0309-9582,,1983,1208,"Guerra, Darvin Manuel Ramírez"
10.5281/zenodo.16891994,39,2025,datacite,last,"Gordo Gómez, Yusleidy Marlie",0000-0002-0621-841X,,,,"Gordo Gómez, Yusleidy Marlie",gomez gordo marlie yusleidy,g|gomez marlie yusleidy,0000-0002-0621-841X,,1978,1204,Yusleidy Marlie Gordo Gómez
10.5281/zenodo.16908087,39,2025,datacite,first,"Pérez Teruel, Karina",,,,,"Pérez Teruel, Karina",karina perez teruel,p|karina teruel,,,2214,1354,"Pérez Teruel, Karina"
10.5281/zenodo.16908109,39,2025,datacite,first,"Puebla Martínez, Manuel Enrique",,,,,"Puebla Martínez, Manuel Enrique",enrique manuel martinez puebla,p|enrique manuel martinez,,,99,55,"Puebla Martínez, Manuel Enrique"
10.5281/zenodo.16908125,39,2025,datacite,first,"Díaz Riverón, Natalia del Carmen",,,,,"Díaz Riverón, Natalia del Carmen",carmen diaz natalia riveron,d|carmen natalia riveron,,,100,56,"Díaz Riverón, Natalia del Carmen"
10.5281/zenodo.16908153,39,2025,datacite,first,"Leyva Vázquez, Maikel Y.",,,,,"Leyva Vázquez, Maikel Y.",leyva maikel vazquez,l|maikel vazquez,,,2224,1362,Maikel Leyva Vázquez
10.5281/zenodo.16908157,39,2025,datacite,first,"Guadalupe Magaña, Morena",,,,,"Guadalupe Magaña, Morena",guadalupe magana morena,g|magana morena,,,102,57,"Guadalupe Magaña, Morena"
