doi,volume,year,author_position,author_name,author_orcid,openalex_author_id,institutions,countries
10.5281/zenodo.2576153,5,2019,first,Neilys González Benítez,,,,
10.5281/zenodo.2576153,5,2019,middle,"Rosa, César Barrionuevo De La",,,,
10.5281/zenodo.2576153,5,2019,middle,"Bolaños, Brenda Cárdenas",,,,
10.5281/zenodo.2576153,5,2019,middle,"Echeverría, Hugo Cárdenas",,,,
10.5281/zenodo.2576153,5,2019,middle,"Padilla, Roddy Cabezas",,,,
10.5281/zenodo.2576153,5,2019,last,"Vázquez, Maikel Leyva",,,,
10.5281/zenodo.2576149,5,2019,first,Neilys González Benítez,,,,
10.5281/zenodo.2576166,5,2019,first,"Segura, Carmen León",,,,
10.5281/zenodo.2576166,5,2019,last,Ismel Bravo Placeres,,,,
10.5281/zenodo.2140877,4,2018,first,"Smarandache, Florentin",,,,
10.5281/zenodo.2140695,4,2018,first,"González Benítez, Neilys",,,,
10.5281/zenodo.2140695,4,2018,middle,"Martínez Hernández, Aliosky",,,,
10.5281/zenodo.2140695,4,2018,last,"Leyva Vázquez, Maikel",,,,
10.5281/zenodo.2139584,4,2018,first,Maikel Leyva Vázquez,0000-0001-7911-5879,https://openalex.org/A5047918385,,
10.5281/zenodo.2139584,4,2018,last,Florentín Smarandache,0000-0002-5560-5926,https://openalex.org/A5012703845,,
10.5281/zenodo.2140533,4,2018,first,"Grimaldo Lorente, Carlos G.",,,,
10.5281/zenodo.2140533,4,2018,middle,"Hugo Lucero, Víctor",,,,
10.5281/zenodo.2140533,4,2018,middle,"Chulde, Marco",,,,
10.5281/zenodo.2140533,4,2018,last,"Cadena, Jaime",,,,
10.5281/zenodo.2140337,4,2018,first,"Iglesias Quintana, Janneth Ximena",,,,
10.5281/zenodo.2140337,4,2018,middle,"Jiménez Montenegro, Milton",,,,
10.5281/zenodo.2140337,4,2018,middle,"Machado Maliza, Mesías Elias",,,,
10.5281/zenodo.2140337,4,2018,last,"Cangas Oña, Ximena",,,,
10.5281/zenodo.2140981,4,2018,first,"Andino Herrera, Alexandra",,,,
10.5281/zenodo.2140981,4,2018,middle,"Cuenca Díaz, Maritza",,,,
10.5281/zenodo.2140981,4,2018,middle,"Paronyan, Hayk",,,,
10.5281/zenodo.2140981,4,2018,last,"Murillo, Viviana",,,,
10.5281/zenodo.1490425,3,2018,first,Florentín Smarandache,0000-0002-5560-5926,https://openalex.org/A5012703845,Universidad Autónoma de Nuevo León,MX
10.5281/zenodo.1467229,2,2018,first,Rebeca Escobar Jara,,https://openalex.org/A5024186847,,
10.5281/zenodo.1467229,2,2018,middle,Maikel Leyva Vázquez,0000-0001-7911-5879,https://openalex.org/A5047918385,,
10.5281/zenodo.1467229,2,2018,last,Cesar Ernesto Roldan Martínez,,https://openalex.org/A5009739673,,
10.5281/zenodo.1254944,1,2018,first,Maikel Leyva Vázquez,0000-0001-7911-5879,https://openalex.org/A5047918385,,
10.5281/zenodo.1254944,1,2018,middle,Rebeca Escobar-Jara,,https://openalex.org/A5057878002,,
10.5281/zenodo.1254944,1,2018,last,Florentín Smarandache,0000-0002-5560-5926,https://openalex.org/A5012703845,,
10.5281/zenodo.1254940,1,2018,first,Roddy Cabezas Padilla,,https://openalex.org/A5050616077,,
10.5281/zenodo.1254940,1,2018,middle,José González Ruiz,,https://openalex.org/A5046888320,,
10.5281/zenodo.1254940,1,2018,middle,Milton Villegas Alava,,https://openalex.org/A5008051438,,
10.5281/zenodo.1254940,1,2018,last,Maikel Leyva Vázquez,0000-0001-7911-5879,https://openalex.org/A5047918385,,
